item_id,scale,domain,item_text,mean_sd,max_sd,mean_mode_agree
epqr_003,EPQR-A,Psychoticism,Do you enjoy hurting people you love?,0.0,0.0,1.0
epqr_010,EPQR-A,Extraversion,Do you tend to keep in the background on social occasions?,0.005,0.4899,0.9971
zkpq_030,ZKPQ-50-CC,Impulsive_Sensation_Seeking,"I like ""wild"" uninhibited parties.",0.005,0.4899,0.9971
zkpq_044,ZKPQ-50-CC,Sociability,I tend to be uncomfortable at big parties.,0.0067,0.4899,0.9953
epqr_007,EPQR-A,Extraversion,Are you a talkative person?,0.0073,0.4899,0.9959
zkpq_045,ZKPQ-50-CC,Sociability,"At parties, I enjoy mingling with many people whether I already know them or not.",0.0076,0.4899,0.9953
epqr_008,EPQR-A,Extraversion,Are you rather lively?,0.0079,0.4899,0.9947
zkpq_048,ZKPQ-50-CC,Sociability,I am a very sociable person.,0.0088,0.4899,0.9947
epqr_024,EPQR-A,Lie,Are all your habits good and desirable ones?,0.0102,0.4899,0.9935
zkpq_022,ZKPQ-50-CC,Impulsive_Sensation_Seeking,I would like to take off on a trip with no preplanned or definite routes or timetables.,0.0102,0.4899,0.9935
epqr_015,EPQR-A,Neuroticism,Are your feelings easily hurt?,0.0119,0.4899,0.9918
zkpq_041,ZKPQ-50-CC,Sociability,I do not mind going out alone and usually prefer it to being out in a large group.,0.0126,0.4899,0.9924
zkpq_033,ZKPQ-50-CC,Neuroticism-Anxiety,I tend to be oversensitive and easily hurt by thoughtless remarks and actions of others.,0.0126,0.4899,0.9924
epqr_004,EPQR-A,Psychoticism,Do you enjoy practical jokes that can sometimes really hurt people?,0.0128,0.4899,0.9918
zkpq_047,ZKPQ-50-CC,Sociability,"Generally, I like to be alone so I can do things I want to do without social distractions.",0.0149,0.4899,0.9912
zkpq_021,ZKPQ-50-CC,Impulsive_Sensation_Seeking,I often do things on impulse.,0.0152,0.4899,0.9906
zkpq_046,ZKPQ-50-CC,Sociability,I would not mind being socially isolated in some place for some period of time.,0.0154,0.4899,0.99
epqr_012,EPQR-A,Extraversion,Are you mostly quiet when you are with other people?,0.0162,0.4899,0.9882
zkpq_028,ZKPQ-50-CC,Impulsive_Sensation_Seeking,I prefer friends who are excitingly unpredictable.,0.0192,0.4899,0.9876
zkpq_049,ZKPQ-50-CC,Sociability,I usually prefer to do things alone.,0.0201,0.4899,0.9876
